Date,signal,Fast_SMA,Slow_SMA,positions,Sell
2016-04-18,0.0,110.663748625,111.08882311764705,-1.0,Sell
2016-06-14,0.0,117.18500037499999,117.82794055882353,-1.0,Sell
2016-11-03,0.0,128.996248,129.04205935294112,-1.0,Sell
2016-12-23,0.0,119.08624950000004,119.10323476470585,-1.0,Sell
2017-06-20,0.0,150.56624975,150.70147167647048,-1.0,Sell
2017-07-06,0.0,150.87749849999994,151.2747066764705,-1.0,Sell
2017-09-26,0.0,169.3837489999999,169.84235382352932,-1.0,Sell
2017-12-05,0.0,177.4925003749999,177.66794185294108,-1.0,Sell
2017-12-26,0.0,178.4287489999999,178.50852964705868,-1.0,Sell
2018-02-12,0.0,181.77749849999978,183.0479404117646,-1.0,Sell
2018-03-21,0.0,178.7349987499998,179.97117579411758,-1.0,Sell
2018-07-30,0.0,197.91499899999985,199.6170586764705,-1.0,Sell
2018-12-20,0.0,140.76749999999987,141.12970605882344,-1.0,Sell
2019-03-22,0.0,165.92749962499988,166.15617591176465,-1.0,Sell
2019-05-22,0.0,184.21125199999983,184.70264699999998,-1.0,Sell
2019-08-05,0.0,193.89374924999984,195.96470558823526,-1.0,Sell
2019-09-27,0.0,184.5400008749999,184.83588223529406,-1.0,Sell
2020-02-05,0.0,211.43249899999984,212.4629409117647,-1.0,Sell
2020-07-06,0.0,230.5925006249997,231.01470582352937,-1.0,Sell
2020-07-29,0.0,235.90749924999963,235.90764661764692,-1.0,Sell
